id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
7762,Incidente,2018-03-21,SÃO PAULO,SP,Sudeste,AGUSTA,AW109SP
7759,Acidente,2018-03-14,MONTES CLAROS,MG,Sudeste,CESSNA AIRCRAFT,A152
7758,Acidente,2018-01-26,INACIOLÂNDIA,GO,Centro-Oeste,CESSNA AIRCRAFT,T188C
7758,Acidente,2018-01-26,INACIOLÂNDIA,GO,Centro-Oeste,CESSNA AIRCRAFT,T188C
7757,Incidente Grave,2018-03-18,TORRES,RS,Sul,PIPER AIRCRAFT,PA-34-200
5552,Acidente,2009-07-07,,PR,Sul,,
5118,Acidente,2006-10-13,,ES,Sudeste,PIPER AIRCRAFT,PA-34-200
7756,Incidente Grave,2018-03-18,IGARASSÚ,PE,Nordeste,KAIO AMARAL RANGEL,RV-7
7755,Incidente Grave,2018-03-18,MARAGOGI,AL,Nordeste,HENRIQUE DRUMOND LIMA DE OLIVEIRA,PARADISE P-1
7754,Incidente Grave,2018-03-17,BRAGANÇA PAULISTA,SP,Sudeste,NEIVA,56-C
7754,Incidente Grave,2018-03-17,BRAGANÇA PAULISTA,SP,Sudeste,NEIVA,56-C
7753,Acidente,2018-03-16,AVANHANDAVA,SP,Sudeste,NEIVA,EMB-201A
5387,Acidente,2002-08-20,,Indeterminado,,,
5665,Acidente,2002-11-20,,Indeterminado,,PZL-MIELEC,M18A
7752,Incidente,2018-03-16,CAMPINAS,SP,Sudeste,INPAER - INDÚSTRIA PAULISTA DE AERONÁUTI,CONQUEST 180 LSA
7526,Incidente,2017-09-20,BELO HORIZONTE,MG,Sudeste,BELL HELICOPTER,206B
7525,Acidente,2017-09-21,SANTO ANTÔNIO DO LEVERGER,MT,Centro-Oeste,DENNIS E. MOELLMAN,FOXTROT 4
7524,Ocorrência de Solo,2017-09-15,RIO DE JANEIRO,RJ,Sudeste,AIRBUS S.A.S.,A320-214
7523,Incidente,2017-09-17,GUARULHOS,SP,Sudeste,BOEING COMPANY,737-809
7522,Acidente,2017-09-15,CARACARAÍ,RR,Norte,CESSNA AIRCRAFT,U206F
7521,Incidente,2017-09-11,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,EMBRAER,ERJ 190-100 STD
7520,Incidente,2017-09-11,SÃO JOSÉ DOS CAMPOS,SP,Sudeste,CESSNA AIRCRAFT,A185E
7519,Incidente,2017-09-07,CURITIBA,PR,Sul,EMBRAER,ERJ 190-100 IGW
7518,Incidente,2017-09-05,ARAPONGAS,PR,Sul,NEIVA,EMB-711ST
7516,Acidente,2017-09-02,SÃO FRANCISCO DE SALES,MG,Sudeste,STOCO AVIAÇÃO,300LS HUMMINGBIRD
7514,Incidente,2017-09-11,JOINVILLE,SC,Sul,PIPER AIRCRAFT,PA-34-220T
7517,Incidente,2017-08-02,RECUFE,PE,Nordeste,BOEING COMPANY,737-4Y0
7515,Incidente Grave,2017-09-06,CUIABÁ,MT,Centro-Oeste,NEIVA,EMB-711B
7229,Incidente,2017-02-07,RIO DE JANEIRO,RJ,Sudeste,AGUSTA,AW139
7228,Incidente,2017-04-11,GUARULHOS,SP,Sudeste,AIRBUS S.A.S.,A320-251N
7227,Ocorrência de Solo,2017-04-05,NITEROI,RJ,Sudeste,HELIBRAS,AS 350 B2
7513,Incidente,2017-09-08,LONDRINA,PR,Sul,CESSNA AIRCRAFT,A150M
7512,Acidente,2017-09-03,ITAÍ,SP,Sudeste,,IPE-06
7511,Acidente,2017-09-06,PERDIZES,MG,Sudeste,THRUSH AIRCRAFT,S2R-H80
7510,Incidente,2017-09-07,BELO HORIZONTE,MG,Sudeste,BEECH AIRCRAFT,58
7236,Incidente,2017-05-04,BELO HORIZONTE,MG,Sudeste,CESSNA AIRCRAFT,560XLS
7235,Acidente,2017-04-23,CACHOEIRA DO SUL,RS,Sul,,RK-2
7234,Incidente,2017-04-20,SLAVADOR,BA,Nordeste,PIPER AIRCRAFT,PA-31T1
7233,Acidente,2017-04-14,CASSILÂNDIA,MS,Centro-Oeste,CESSNA AIRCRAFT,172N
7232,Acidente,2017-02-17,BOCA DO ACRE,AM,Norte,EMBRAER,EMB-202A
7231,Incidente,2017-02-04,BARRA VELHA,SC,Sul,EUROCOPTER FRANCE,EC 120 B
7230,Incidente,2017-02-13,COLATINA,ES,Sudeste,EMBRAER,EMB-500
7226,Incidente,2017-04-05,POUSO ALEGRE,MG,Sudeste,CESSNA AIRCRAFT,208B
7225,Acidente,2017-04-01,ARAGARÇAS,GO,Centro-Oeste,,CORSARIO MK III
7224,Acidente,2017-02-06,IPUÃ,SP,Sudeste,NEIVA,EMB-202A
7222,Incidente,2017-01-23,BRASÍLIA,DF,Centro-Oeste,BOEING COMPANY,737-76N
7990,Incidente,2011-02-26,RIO DE JANEIRO,RJ,Sudeste,CESSNA AIRCRAFT,170A
7989,Incidente,2011-03-01,RIO DE JANEIRO,RJ,Sudeste,HAWKER BEECHCRAFT,390
7223,Incidente,2017-01-18,GUARULHOS,SP,Sudeste,AIRBUS S.A.S.,A321-231
7221,Incidente,2017-01-14,RIBEIRÃO PRETO,SP,Sudeste,AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA,BRAVO 700
7993,Incidente,2011-01-10,CAMPOS DOS GOYTACAZES,RJ,Sudeste,CESSNA AIRCRAFT,152
7506,Incidente,2017-07-03,GOIÂNIA,GO,Centro-Oeste,AERO BOERO,AB-115
7992,Incidente,2011-01-23,NATAL,RN,Nordeste,CESSNA AIRCRAFT,650
7991,Incidente,2011-02-06,SINOP,MT,Centro-Oeste,EMBRAER,ERJ 170-200 LR
7988,Incidente,2011-03-26,CAMPOS DOS GOYTACAZES,RJ,Sudeste,AERO BOERO,AB-115
7986,Incidente,2011-04-18,RIBEIRÃO PRETO,SP,Sudeste,ROBINSON HELICOPTER,R44 II
7987,Incidente,2011-04-07,CURITIBA,PR,Sul,AERO BOERO,AB-115
7985,Incidente,2011-04-29,MACAÉ,RJ,Sudeste,SIKORSKY AIRCRAFT,S-92A
7750,Acidente,2018-03-15,BREVES,PA,Norte,HELIBRAS,AS 350 BA
7748,Acidente,2018-03-13,GUARIBA,SP,Sudeste,EMBRAER,EMB-202A
7749,Incidente,2018-03-11,TATUÍ,SP,Sudeste,CIRRUS DESIGN,SR22
7747,Acidente,2018-03-10,URUÇUÍ,PI,Nordeste,NEIVA,EMB-202
7746,Acidente,2018-03-11,CIANORTE,PR,Sul,AIR TRACTOR,AT-502B
